topic_id	en_slug	en_exists	ua_tpost_slug	ua_words	ua_title	ru_tpost_slug	ru_words	ru_title	notes
10-ways-increase-profit-ecommerce	10-ways-increase-profit-ecommerce	YES	5kfyptimc1-10-robochih-sposobv-zblshiti-pributok-nt	887	10 робочих способів збільшити прибуток інтернет-магазину в Україні	iavfdk7371-10-rabochih-sposobov-uvelichit-pribil-in	916	10 рабочих способов увеличить прибыль интернет-магазина в Украине	
5-mistakes-starting-online-store	5-mistakes-starting-online-store	YES	1uxlzxirt1-5-golovnih-pomilok-pd-chas-vdkrittya-nte	1122	5 головних помилок під час відкриття інтернет-магазину в Україні	e3uzpiaja1-5-glavnih-oshibok-pri-otkritii-internet	976	5 главных ошибок при открытии интернет-магазина в Украине	
best-business-ideas-ukraine	best-business-ideas-ukraine	YES	edt36a00r1-yakii-bznes-vdkriti-v-ukran-mozhlivost-d	411	Який бізнес відкрити в Україні: можливості для підприємця-початківця	33bmy57t51-kakoi-biznes-otkrit-v-ukraine-vozmozhnos	418	Какой бизнес открыть в Украине: возможности для начинающего предпринимателя	
business-in-ukraine-during-war	business-in-ukraine-during-war	YES	27jibr7e81-bznes-v-ukran-pd-chas-vini-vikliki-ta-mo	433	Бізнес в Україні під час війни: виклики та можливості	h4mk9ml261-biznes-v-ukraine-vo-vremya-voini-vizovi	438	Бизнес в Украине во время войны: вызовы и возможности	
ecommerce-logistics-during-war	ecommerce-logistics-during-war	YES	mj3ulhpr21-yak-nternet-magazinu-pratsyuvati-v-umova	674	Як інтернет-магазину працювати в умовах війни: про логістику, маркетинг та подат	tl4cc8e601-kak-internet-magazinu-rabotat-v-usloviya	685	Как интернет-магазину работать в условиях войны: о логистике, маркетинге и налог	
ecommerce-trends-2022	ecommerce-trends-2022	YES	n2kn0z1f21-7-trendv-nternet-torgvl-u-2022-rots-scho	910	7 трендів інтернет-торгівлі у 2022 році: що потрібно знати, щоб вести успішний б	kahfgm2161-7-trendov-internet-torgovli-v-2022-godu	924	7 трендов интернет-торговли в 2022 году: что нужно знать, чтобы вести успешный б	
expand-to-european-marketplaces	expand-to-european-marketplaces	YES	vzfshz9ht1-yak-ukranskim-pdprimtsyam-viiti-na-vrope	697	Як українським підприємцям вийти на європейські маркетплейси під час війни: інст	2l10ulx751-kak-ukrainskim-predprinimatelyam-viiti-n	694	Как украинским предпринимателям выйти на европейские маркетплейсы во время войны	
fiscal-register-prro-business	fiscal-register-prro-business	YES	iyjgnyrmx1-rro-prro-dlya-bznesu-osoblivost-ta-vimog	502	РРО і пРРО для бізнесу: особливості та вимоги	60er8zh601-rro-i-prro-dlya-biznesa-osobennosti-i-tr	532	РРО и пРРО для бизнеса: особенности и требования	
fiscal-register-requirements-ukraine	fiscal-register-requirements-ukraine	YES	3tdig7x6z1-rro-dlya-nternet-magazinu-yak-vesti-bzne	1335	РРО для інтернет-магазину: як вести бізнес законно з 1 січня 2022 року	n2a9117991-rro-dlya-internet-magazina-kak-vesti-biz	1355	РРО для интернет-магазина: как вести бизнес законно с 1 января 2022 года	
fulfillment-cost-guide	fulfillment-cost-guide	YES	rjmgtrmvb1-fulflment-scho-tse-sklki-koshtu-ta-nsh-v	824	Фулфілмент: що це, скільки коштує та інші важливі питання про сервіс для інтерне	jveoso2gb1-fulfilment-chto-eto-skolko-stoit-i-drugi	981	Фулфилмент в Украине, как часть важных бизнес-процессов для интернет-магазинов.	
fulfillment-for-clothing-shoes	fulfillment-for-clothing-shoes	YES	uec3upu741-fulflment-dlya-nternet-magazinu-odyagu-t	778	Фулфілмент для інтернет-магазину одягу та взуття: переваги сервісу для товарного	ak35ism111-fulfilment-dlya-internet-magazina-odezhd	830	Фулфилмент для интернет-магазина одежды и обуви: преимущества сервиса для товарн	
fulfillment-vs-own-warehouse	fulfillment-vs-own-warehouse	YES	bgt5cmsix1-svi-sklad-vs-fulflment-scho-obrati-vlasn	810	Свій склад VS фулфілмент: що обрати власникам інтернет-магазинів в Україні	25m6cs3xd1-svoi-sklad-vs-fulfilment-chto-vibrat-vla	881	Свой склад VS фулфилмент: что выбрать владельцам интернет-магазинов в Украине	
